State,County,CD #,"CD Pop. in County","% of County in CD"
CA,Ventura,26,"694,635",84.40%
CA,Ventura,30,"2,049",0.20%
CA,Yolo,3,"152,105",75.70%
CA,Yolo,6,"48,744",24.30%
CA,Yuba,3,"72,155",100.00%
CO,Adams,4,"7,166",1.60%
CO,Adams,6,"105,561",23.90%
CO,Adams,7,"328,876",74.50%
CO,Alamosa,3,"15,445",100.00%
CO,Arapahoe,1,"50,170",8.80%
CO,Arapahoe,4,"7,220",1.30%
CO,Arapahoe,6,"514,613",90.00%
CO,Archuleta,3,"12,084",100.00%
CO,Baca,4,"3,788",100.00%
CO,Bent,4,"6,499",100.00%
CO,Boulder,2,"206,113",70.00%
CO,Boulder,4,"88,454",30.00%
CO,Broomfield,2,"55,889",100.00%
CO,Chaffee,5,"17,809",100.00%
CO,Cheyenne,4,"1,836",100.00%
CO,Clear Creek,2,"9,088",100.00%
CO,Conejos,3,"8,256",100.00%
CO,Costilla,3,"3,524",100.00%
CO,Crowley,4,"5,823",100.00%
CO,Custer,3,"4,255",100.00%
CO,Delta,3,"30,952",100.00%
CO,Denver,1,"600,158",100.00%
CO,Dolores,3,"2,064",100.00%
CO,Douglas,4,"187,183",65.60%
CO,Douglas,6,"98,282",34.40%
CO,Eagle,2,"14,636",28.00%
CO,Eagle,3,"37,561",72.00%
CO,Elbert,4,"23,086",100.00%
CO,El Paso,5,"622,263",100.00%
CO,Fremont,5,"46,824",100.00%
CO,Garfield,3,"56,389",100.00%
CO,Gilpin,2,"5,441",100.00%
CO,Grand,2,"14,843",100.00%
CO,Gunnison,3,"15,324",100.00%
CO,Hinsdale,3,843,100.00%
CO,Huerfano,3,"6,711",100.00%
CO,Jackson,3,"1,394",100.00%
CO,Jefferson,1,"68,129",12.70%
CO,Jefferson,2,"76,853",14.40%
CO,Jefferson,7,"389,561",72.90%
CO,Kiowa,4,"1,398",100.00%
CO,Kit Carson,4,"8,270",100.00%
CO,Lake,3,"7,310",100.00%
CO,La Plata,3,"51,334",100.00%
CO,Larimer,2,"299,630",100.00%
CO,Las Animas,4,"15,507",100.00%
CO,Lincoln,4,"5,467",100.00%
CO,Logan,4,"22,709",100.00%
CO,Mesa,3,"146,723",100.00%
CO,Mineral,3,712,100.00%
CO,Moffat,3,"13,795",100.00%
CO,Montezuma,3,"25,535",100.00%
CO,Montrose,3,"41,276",100.00%
CO,Morgan,4,"28,159",100.00%
CO,Otero,4,"18,831",100.00%
CO,Ouray,3,"4,436",100.00%
CO,Park,2,"7,995",49.30%
CO,Park,5,"8,211",50.70%
CO,Phillips,4,"4,442",100.00%
CO,Pitkin,3,"17,148",100.00%
CO,Prowers,4,"12,551",100.00%
CO,Pueblo,3,"159,063",100.00%
CO,Rio Blanco,3,"6,666",100.00%
CO,Rio Grande,3,"11,982",100.00%
